timer,fight_result,is_round_over,player1_health,player1_x_coord,player1_is_jumping,player1_is_crouching,player2_health,player2_x_coord,player2_is_jumping,player2_is_crouching,player1_buttons_up,player1_buttons_down,player1_buttons_right,player1_buttons_left
152,0,0,160,205,0,0,176,257,0,0,0,0,0,0
152,0,0,160,205,0,0,176,257,0,0,0,0,0,1
152,0,0,160,205,0,0,176,257,0,0,1,1,0,1
152,0,0,160,205,0,0,176,257,0,0,0,0,0,0
152,0,0,160,203,0,0,176,257,0,0,0,1,0,0
152,0,0,160,201,0,0,176,257,0,0,0,1,1,0
152,0,0,160,197,0,0,176,257,0,0,0,0,0,0
152,0,0,160,197,0,0,176,257,0,0,0,0,1,0
152,0,0,160,193,0,0,176,257,0,0,1,0,0,0
152,0,0,160,191,0,0,176,257,0,0,0,0,0,0
152,0,0,160,190,0,0,176,257,0,0,0,0,0,1
152,0,0,160,189,0,0,176,257,0,0,0,1,0,1
152,0,0,160,189,0,0,176,257,0,0,0,0,0,0
152,0,0,160,189,0,0,176,257,0,0,0,1,0,0
152,0,0,160,189,0,0,176,257,0,0,1,1,1,0
152,0,0,160,189,0,1,176,257,0,0,0,0,0,0
152,0,0,160,189,0,0,176,257,0,0,0,0,1,0
152,0,0,160,189,0,0,176,257,0,0,0,0,0,0
152,0,0,160,189,0,0,176,257,0,0,1,0,0,0
152,0,0,160,189,0,0,176,257,0,0,0,0,0,1
152,0,0,160,207,0,0,176,254,0,0,0,1,0,1
152,0,0,160,207,0,0,176,254,0,0,0,0,0,0
152,0,0,160,189,0,0,176,257,0,0,0,1,0,0
152,0,0,160,204,1,0,176,254,0,0,0,1,1,0
152,0,0,160,191,1,0,176,257,0,0,0,0,0,0
151,0,0,160,206,1,0,176,254,0,0,0,0,1,0
151,0,0,160,210,1,0,176,251,0,0,0,0,0,0
151,0,0,160,197,1,0,176,251,0,0,0,0,0,0
151,0,0,160,198,1,0,176,250,0,0,0,0,0,1
151,0,0,160,213,1,0,155,247,0,0,0,1,0,1
151,0,0,160,198,1,0,155,249,0,0,0,0,0,0
151,0,0,160,198,1,0,155,249,0,0,0,1,0,0
151,0,0,160,198,1,0,155,249,0,0,0,1,1,0
151,0,0,160,198,1,0,155,249,0,0,0,0,0,0
151,0,0,160,198,1,0,155,249,0,0,0,0,1,0
151,0,0,160,198,1,0,155,249,0,0,0,0,0,0
151,0,0,160,198,1,0,155,249,0,0,0,0,0,0
151,0,0,160,198,1,0,155,249,0,0,0,0,0,1
151,0,0,160,198,1,0,155,249,0,0,0,1,0,1
151,0,0,160,198,1,0,155,249,0,0,0,0,0,0
151,0,0,160,199,1,0,155,249,0,0,0,1,0,0
151,0,0,160,199,1,0,155,249,0,0,0,1,1,0
151,0,0,160,199,1,0,155,251,0,0,0,0,0,0
151,0,0,160,199,1,0,155,252,0,0,0,0,1,0
151,0,0,160,199,1,0,155,253,0,0,0,0,0,0
151,0,0,160,199,1,0,155,254,0,0,0,0,0,0
151,0,0,160,199,1,0,155,257,0,0,0,0,0,1
151,0,0,160,199,1,0,155,258,0,0,0,1,0,1
151,0,0,160,199,1,0,155,259,0,0,0,0,0,0
151,0,0,160,199,1,0,155,261,0,0,0,1,0,0
151,0,0,160,199,1,0,155,261,0,0,0,1,1,0
151,0,0,160,199,1,0,155,264,0,0,0,0,0,0
151,0,0,160,199,1,0,155,266,0,0,0,0,1,0
151,0,0,160,199,1,0,155,267,0,0,0,0,0,0
151,0,0,160,199,1,0,155,267,0,0,0,0,0,0
151,0,0,160,199,1,0,155,271,0,0,0,0,0,1
150,0,0,160,199,1,0,155,272,0,0,0,1,0,1
150,0,0,160,199,0,0,155,273,0,0,0,0,0,0
150,0,0,160,199,0,0,155,274,0,0,0,1,0,0
150,0,0,160,199,0,0,155,275,0,0,0,1,1,0
150,0,0,160,199,0,0,155,276,0,0,0,0,0,0
150,0,0,160,199,0,0,155,279,0,0,0,0,1,0
150,0,0,160,199,0,0,155,280,0,0,0,0,0,0
150,0,0,160,199,0,0,155,281,0,0,0,0,0,0
150,0,0,160,199,0,0,155,282,0,0,0,0,0,1
150,0,0,160,198,0,0,155,283,0,0,0,1,0,1
150,0,0,160,198,0,0,155,286,0,0,0,0,0,0
150,0,0,160,198,0,1,155,287,0,0,0,1,0,0
150,0,0,160,198,0,1,155,288,0,0,0,1,1,0
150,0,0,160,198,0,1,155,289,0,0,0,0,0,0
150,0,0,160,198,0,1,155,291,0,0,0,0,1,0
150,0,0,160,198,0,0,155,293,0,0,0,0,0,0
150,0,0,160,198,0,0,155,295,0,0,0,0,0,0
150,0,0,160,198,0,0,155,295,0,0,0,0,0,1
150,0,0,160,198,0,0,155,297,0,0,0,1,0,1
150,0,0,160,198,0,0,155,300,0,0,0,0,0,0
150,0,0,160,198,0,0,155,301,0,0,0,1,0,0
150,0,0,160,198,0,0,155,301,0,0,0,1,1,0
150,0,0,160,200,1,0,155,301,0,0,1,0,0,0
150,0,0,160,200,1,0,155,301,1,0,0,0,1,0
150,0,0,160,202,1,0,155,301,1,0,0,0,0,0
150,0,0,160,207,1,0,155,305,1,0,0,0,0,0
150,0,0,160,207,1,0,155,307,1,0,0,0,0,1
150,0,0,160,208,1,0,155,308,1,0,0,1,0,1
150,0,0,160,208,1,0,155,309,1,0,0,0,0,0
150,0,0,160,208,1,0,155,312,1,0,0,1,0,0
150,0,0,160,208,1,0,155,312,1,0,0,1,1,0
150,0,0,160,208,1,0,155,315,1,0,0,0,0,0
149,0,0,160,208,1,0,155,317,1,0,0,0,1,0
